ID,Date,Sentiment
0,2022-09-23,1
1,2022-07-22,1
2,2022-06-25,1
3,2022-06-16,2
4,2022-06-10,2
5,2022-04-26,1
6,2022-04-10,2
7,2022-04-10,2
8,2022-04-03,2
9,2022-04-03,2
10,2022-03-27,2
11,2022-03-06,2
12,2022-01-23,2
13,2022-01-21,1
14,2022-01-14,2
15,2021-12-31,2
16,2021-12-12,2
17,2021-12-12,2
18,2021-11-07,2
19,2021-10-24,2
20,2021-10-17,2
21,2021-10-15,2
22,2021-10-08,1
23,2021-10-03,2
24,2021-10-03,2
25,2021-10-03,2
26,2021-05-21,2
27,2021-05-16,1
28,2021-05-16,2
29,2021-05-09,2
30,2021-05-09,1
31,2021-05-08,1
32,2021-05-02,2
33,2021-04-04,2
34,2021-04-02,1
35,2021-03-28,2
36,2021-01-01,2
37,2020-12-31,2
38,2020-12-25,1
39,2020-12-20,1
40,2020-12-13,2
41,2020-12-06,2
42,2020-11-27,2
43,2020-11-20,1
44,2020-11-13,2
45,2020-11-08,2
46,2020-11-08,2
47,2020-10-25,2
48,2020-04-26,2
49,2020-04-25,2
50,2019-12-21,2
51,2019-12-15,2
52,2019-12-15,1
53,2019-12-14,2
54,2019-12-07,2
55,2019-11-24,2
56,2019-11-24,2
57,2019-11-24,2
58,2019-11-23,2
59,2019-11-18,1
60,2019-11-17,2
61,2019-11-14,2
62,2019-11-08,3
63,2019-11-08,2
64,2019-11-07,2
65,2019-11-07,1
66,2019-11-05,2
67,2019-11-05,2
68,2019-11-03,2
69,2019-11-02,3
70,2019-11-01,1
71,2019-11-01,3
72,2019-10-31,2
73,2019-10-31,0
74,2019-10-31,2
75,2019-10-31,1
76,2019-10-30,1
77,2019-10-28,1
78,2019-10-27,0
79,2019-10-27,1
80,2019-10-26,2
81,2019-10-24,2
82,2019-10-23,2
83,2019-10-22,2
84,2019-10-16,2
85,2019-10-15,3
86,2019-10-11,2
87,2019-10-09,2
88,2019-10-09,2
89,2019-10-08,2
90,2019-10-07,2
91,2019-10-06,2
92,2019-10-06,2
93,2019-10-05,1
94,2019-09-29,2
95,2019-09-25,2
96,2019-09-17,1
97,2019-05-18,1
98,2019-03-31,2
99,2019-03-10,2
100,2019-03-02,2
101,2019-02-23,2
102,2019-02-20,1
103,2019-02-14,2
104,2019-02-14,2
105,2019-02-14,3
106,2019-02-10,2
107,2019-02-10,2
108,2019-02-08,0
109,2019-02-08,2
110,2019-02-07,2
111,2019-02-07,2
112,2019-02-06,2
113,2019-02-06,2
114,2019-02-06,1
115,2019-02-06,2
116,2019-02-05,2
117,2019-02-05,2
118,2019-02-05,3
119,2019-02-04,2
120,2019-02-03,2
