ID,Date,Sentiment
0,2022-09-07,1
1,2022-08-21,2
2,2022-04-30,2
3,2021-10-04,1
4,2021-09-25,2
5,2021-06-16,1
6,2021-02-03,2
7,2020-08-27,2
8,2019-04-13,1
9,2019-03-14,1
10,2018-05-17,1
11,2018-05-02,2
12,2018-05-01,1
13,2018-05-01,2
14,2018-04-19,2
15,2018-04-19,1
16,2018-04-16,2
17,2018-04-12,1
18,2018-04-11,1
19,2018-04-11,1
20,2018-04-09,1
21,2018-04-07,2
22,2018-04-06,1
23,2018-04-04,2
24,2018-04-02,1
25,2018-03-30,2
26,2018-03-30,2
27,2018-03-17,2
28,2018-02-28,2
29,2018-02-28,2
30,2018-02-27,2
31,2018-02-24,1
32,2018-02-23,2
33,2018-02-21,2
34,2018-02-21,1
35,2018-02-20,2
36,2018-02-07,1
37,2018-02-06,2
38,2018-01-30,2
39,2018-01-14,2
40,2018-01-11,2
41,2018-01-03,2
42,2017-12-26,2
43,2017-12-22,1
44,2017-12-21,2
45,2017-12-20,2
46,2017-12-19,2
47,2017-12-11,1
48,2017-12-10,2
49,2017-12-04,2
50,2017-12-04,1
51,2017-12-04,1
52,2017-12-02,1
53,2017-11-28,2
54,2017-11-27,1
55,2017-11-27,1
56,2017-11-22,2
57,2017-11-22,2
58,2017-11-20,2
59,2017-11-16,2
60,2017-11-15,2
61,2017-11-14,2
62,2017-11-14,1
63,2017-11-13,1
64,2017-11-13,1
65,2017-11-13,2
66,2017-11-13,1
67,2017-11-11,1
68,2017-11-09,1
69,2017-11-09,0
70,2017-11-06,2
71,2017-11-06,2
72,2017-11-03,0
73,2017-11-02,1
74,2017-10-27,2
75,2017-10-26,1
76,2017-10-19,2
77,2017-10-19,2
78,2017-10-17,2
79,2017-10-16,2
80,2017-10-16,1
81,2017-10-11,3
82,2017-10-10,1
83,2017-10-09,2
84,2017-10-09,1
85,2017-10-06,1
86,2017-10-03,2
87,2017-10-03,2
88,2017-10-01,2
89,2017-09-29,2
90,2017-09-29,2
91,2017-09-29,1
92,2017-09-23,1
93,2017-09-21,2
94,2017-09-18,1
95,2017-09-18,2
96,2017-09-17,2
97,2017-09-17,0
98,2017-09-16,1
99,2017-09-14,2
100,2017-09-12,2
101,2017-09-11,2
102,2017-09-11,2
103,2017-09-10,2
104,2017-09-10,2
105,2017-09-07,1
106,2017-09-07,1
107,2017-09-07,0
108,2017-09-07,2
109,2017-09-06,2
110,2017-09-05,2
111,2017-09-04,2
112,2017-09-01,2
113,2017-08-31,1
114,2017-08-31,1
115,2017-08-30,1
116,2017-08-30,1
117,2017-08-29,2
118,2017-08-28,1
119,2017-08-28,2
120,2017-08-28,1
121,2017-08-28,0
122,2017-08-28,1
123,2017-08-23,2
124,2017-08-23,2
125,2017-08-22,2
126,2017-08-21,2
127,2017-08-21,2
128,2017-08-21,1
129,2017-08-17,1
130,2017-08-17,2
131,2017-08-17,1
132,2017-08-14,2
133,2017-08-14,1
134,2017-08-14,0
135,2017-08-13,2
136,2017-08-12,2
137,2017-08-11,2
138,2017-08-11,1
139,2017-08-10,1
140,2017-08-07,2
141,2017-08-06,1
142,2017-08-02,2
143,2017-07-31,1
144,2017-07-27,2
145,2017-07-24,1
146,2017-07-24,2
147,2017-07-23,1
148,2017-07-23,1
149,2017-07-23,2
150,2017-07-22,1
151,2017-07-21,2
152,2017-07-20,2
153,2017-07-19,2
154,2017-07-19,2
155,2017-07-17,2
156,2017-07-16,1
157,2017-07-16,2
158,2017-07-16,2
159,2017-07-14,2
160,2017-07-13,2
161,2017-07-10,2
162,2017-07-10,2
163,2017-07-10,2
164,2017-07-09,2
165,2017-07-05,1
166,2017-07-04,2
167,2017-07-03,1
168,2017-06-28,2
169,2017-06-27,3
170,2017-06-27,2
171,2017-06-26,2
172,2017-06-21,2
173,2017-06-21,2
174,2017-06-21,1
175,2017-06-16,2
176,2017-06-16,2
177,2017-06-14,2
178,2017-06-12,2
179,2017-06-08,1
180,2017-06-08,1
181,2017-06-07,2
182,2017-06-05,2
183,2017-06-05,1
184,2017-06-03,1
185,2017-06-01,2
186,2017-05-31,2
187,2017-05-31,1
188,2017-05-29,2
189,2017-05-27,2
190,2017-05-26,2
191,2017-05-25,1
192,2017-05-25,2
193,2017-05-25,2
194,2017-05-23,2
195,2017-05-22,2
196,2017-05-20,2
197,2017-05-19,2
198,2017-05-19,1
199,2017-05-18,1
200,2017-05-15,2
201,2017-05-15,3
202,2017-05-14,2
203,2017-05-13,2
204,2017-05-12,2
205,2017-05-11,2
206,2017-05-11,2
207,2017-05-08,1
208,2017-05-08,1
209,2017-05-08,2
210,2017-05-07,2
211,2017-05-07,2
212,2017-05-05,1
213,2017-05-04,1
214,2017-05-03,2
215,2017-05-01,2
216,2017-05-01,1
217,2017-04-30,2
218,2017-04-25,2
219,2017-04-24,0
220,2017-04-22,2
221,2017-04-19,2
222,2017-04-19,1
223,2017-04-18,2
224,2017-04-16,2
225,2017-04-13,1
226,2017-04-12,2
227,2017-04-10,2
228,2017-04-10,1
229,2017-04-06,2
230,2017-04-06,1
231,2017-04-05,2
232,2017-04-03,2
233,2017-04-03,1
234,2017-03-31,2
235,2017-03-30,2
236,2017-03-27,1
237,2017-03-27,1
238,2017-03-24,1
239,2017-03-22,1
240,2017-03-20,2
241,2017-03-12,2
242,2017-03-08,1
243,2017-03-07,3
244,2017-02-25,1
245,2017-02-23,3
246,2017-02-21,2
247,2017-02-20,1
248,2017-02-20,2
249,2017-02-19,2
250,2017-02-19,1
251,2017-02-19,2
252,2017-02-18,1
253,2017-02-12,2
254,2017-02-11,2
255,2017-02-11,2
256,2017-02-11,2
257,2017-02-11,2
258,2017-02-08,1
259,2017-02-04,1
260,2017-01-29,3
261,2017-01-22,2
262,2017-01-21,1
263,2017-01-16,2
264,2017-01-16,1
265,2017-01-15,1
266,2017-01-15,1
267,2017-01-15,1
268,2017-01-14,2
269,2017-01-08,2
270,2017-01-08,2
271,2017-01-04,2
272,2017-01-04,1
273,2016-12-31,2
274,2016-12-29,2
275,2016-12-28,2
276,2016-12-28,2
277,2016-12-28,2
278,2016-12-26,2
279,2016-12-26,2
280,2016-12-24,2
281,2016-12-19,2
282,2016-12-19,1
283,2016-12-12,2
284,2016-12-12,2
285,2016-12-11,3
286,2016-12-10,2
287,2016-12-08,1
288,2016-12-05,2
289,2016-12-04,2
290,2016-12-04,2
291,2016-12-03,2
292,2016-11-29,2
293,2016-11-28,2
294,2016-11-20,2
295,2016-11-19,2
296,2016-11-18,2
297,2016-11-14,2
298,2016-11-11,2
299,2016-11-07,2
300,2016-11-05,2
301,2016-10-31,3
302,2016-10-29,2
303,2016-10-23,2
304,2016-10-22,2
305,2016-10-15,2
306,2016-10-15,2
307,2016-10-09,1
