link,headline,category,short_description,authors,date
https://www.huffpost.com/entry/mija-documentary-immigration-isabel-castro-interview_n_632329aee4b000d98858dbda,How A New Documentary Captures The Complexity Of Being A Child Of Immigrants,CULTURE & ARTS,"In ""Mija,"" director Isabel Castro combined music documentaries with the style of ""Euphoria"" and ""Clueless"" to tell a more nuanced immigration story.",Marina Fang,2022-09-22
https://www.huffpost.com/entry/hulu-reboot-should-you-watch-it_n_6324a099e4b0eac9f4e18b46,'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots,CULTURE & ARTS,"Starring Keegan-Michael Key, Judy Greer and Johnny Knoxville, the Hulu show follows the revival of a fictional early 2000s sitcom.",Marina Fang and Candice Frederick,2022-09-20
https://www.huffpost.com/entry/alex-aster-lightlark-culture-shifters_n_630d2145e4b065bfc4b12692,"Meet Alex Aster, The TikToker Changing The Publishing Industry For The Better",CULTURE & ARTS,"The Colombian-American author's new book ""Lightlark"" was rejected numerous times — until she went directly to her readers for support.",Marilyn La Jeunesse,2022-09-15
https://www.huffpost.com/entry/ani-liu-art-science_n_631254cbe4b0aefceecba636,How Ani Liu Is Brilliantly Disguising Her Art As Science,CULTURE & ARTS,"The research-based artist has found dynamic ways to confront conversations about female empowerment, motherhood and labor in her artwork.",Xintian Wang,2022-09-12
https://www.huffpost.com/entry/sidney-review-tiff-sidney-poitier_n_631b75f9e4b082746bdf840c,'Sidney' Tackles The Not-So-Comfortable Conversations About A Black Cinema Icon,CULTURE & ARTS,"It’s not about sensationalizing or even tarnishing the reputation of Sidney Poitier. Rather, the new documentary honors his humanity — every facet of it.",Candice Frederick,2022-09-11
https://www.huffpost.com/entry/lisa-loeb-90s-music-profile_n_630d2734e4b088f74236a534,Lisa Loeb Paved Her Own Way In The '90s — A Rare Feat For Independent Artists Of The Time,CULTURE & ARTS,The ‘Stay (I Missed You)’ artist reflects on pushing against a culture where female singer-songwriters were expected to fit a certain mold to make it big.,Candice Frederick,2022-08-31
https://www.huffpost.com/entry/mike-tyson-hulu-authorized-biopics_n_62fbb417e4b077bb77a63183,'Mike' And The Flawed Allure Of Authorized Biopics,CULTURE & ARTS,Celebrity-endorsed biographies have long been considered the gold standard — but that doesn’t take into consideration how curated they can be.,Candice Frederick,2022-08-18
https://www.huffpost.com/entry/whats-going-on-with-hbo-max-discovery-merger_n_62ec1ae3e4b0c5501618704b,What’s Going On With HBO Max? Here’s What We Know So Far.,CULTURE & ARTS,Speculation about potentially drastic cuts at HBO Max has left viewers and subscribers panicking about the future of the streaming platform.,Marina Fang,2022-08-04
https://www.huffpost.com/entry/emmy-nominations-2022-snubs-surprises_n_62cdb4d9e4b02e0ac91a6cce,The Snubs And Surprises Of The 2022 Emmy Nominations,CULTURE & ARTS,"From a huge showing for ""Abbott Elementary"" to the complete shut-out of ""Pachinko,"" HuffPost breaks down this year's Emmy nominations.","Marina Fang, Elyse Wanshel, Erin E. Evans, and Candice Frederick",2022-07-12
https://www.huffpost.com/entry/resurgence-american-girl-doll-core_n_62c50476e4b0aa392d37abcd,The Resurgence of American Girl Doll-Core,CULTURE & ARTS,The women behind viral American Girl-themed meme pages say the dolls have become a rallying cry for the series of unfortunate historical events we’ve been living through.,Ruth Etiesit Samuel,2022-07-10
https://www.huffpost.com/entry/menudo-forever-young-exploitation-boy-bands_n_62b9cfc4e4b0cf43c86835f8,'Menudo: Forever Young' Looks At The Exploitative Nature Of Boy Bands,CULTURE & ARTS,"The new docuseries tells the story of the iconic pop group, and examines how the music industry helped create an obsession with male youth and talent.",Candice Frederick,2022-06-28
https://www.huffpost.com/entry/homophobic-90s-teen-movies_n_62b22b04e4b06594c1dc820c,How '90s Teen Movies Reflected The Real-Life Homophobia Throughout The Decade,CULTURE & ARTS,"Films like ""Can't Hardly Wait,"" ""Clueless"" and ""Cruel Intentions"" held up an unflinching mirror to the roles young people were socialized to play in a heteronormative society.",Candice Frederick,2022-06-27
https://www.huffpost.com/entry/teen-abortions-tv-still-taboo-degrassi-2004-episodes_n_62a2620ee4b06594c1c62db6,'Degrassi: The Next Generation' Moved The Needle On Abortion Nearly 20 Years Ago,CULTURE & ARTS,"Screenwriter Shelley Scarrow, who wrote “Accidents Will Happen,” talks about why it’s important to portray teens navigating abortion.",Ruth Etiesit Samuel,2022-06-13
https://www.huffpost.com/entry/fire-island-movie-joel-kim-booster_n_629412e4e4b0415d4d8726d5,‘Fire Island’ Remixes A Classic Jane Austen Tale — While Blazing Its Own Path,CULTURE & ARTS,"Joel Kim Booster and Andrew Ahn discuss making a movie about queer Asian joy, and the Austen adaptations and rom-coms that influenced them.",Marina Fang,2022-06-02
https://www.huffpost.com/entry/hacks-hbo-max-season-2-episode-5-interview_n_628952b2e4b0415d4d783afa,How ‘Hacks’ Turned A Cow Giving Birth Into Something Deeply Profound,CULTURE & ARTS,"Lucia Aniello, Paul Downs and Jen Statsky, the creators of the HBO Max comedy, talk about what inspired episode five of the show’s second season.",Marina Fang,2022-05-26
