link,headline,category,short_description,authors,date
https://www.huffpost.com/entry/ap-us-los-angeles-schools-cyberattack_n_63184088e4b046aa022f1bd4,Cyberattack Prompts Los Angeles School District To Shut Down Its Computer Systems,EDUCATION,"Such attacks have become a growing threat to U.S. schools, with several high-profile incidents reported since last year.","Stefanie Dazio, Frank Bajak and Zeke Miller, AP",2022-09-07
https://www.huffpost.com/entry/united-states-minneapolis-teacher-layoff-policy_n_63027570e4b0f7df9bb15459,Minneapolis Teacher Contract Race Language Ignites Firestorm,EDUCATION,"When Minneapolis teachers settled a 14-day strike earlier this year, they celebrated a groundbreaking provision in their new contract that was meant to shield teachers of color from traditional seniority-based layoffs.","Steve Karnowski, AP",2022-08-21
https://www.huffpost.com/entry/parents-schools-poll_n_626d4a61e4b01131b12379da,"Despite GOP Attacks, Parents Are Pretty Happy With Their Kids' Schools, Poll Finds",EDUCATION,"Increasing Republican attacks on the nation's schools are not reflected in how most parents view their kids' education, the poll said.",Sara Boboltz,2022-04-30
https://www.huffpost.com/entry/nyc-teachers-staff-coronavirus-vaccine-mandate_n_615af280e4b05025423568d2,"COVID Vaccine Mandate Takes Effect For NYC Teachers, Staff",EDUCATION,"Unvaccinated employees will be placed on unpaid leave and not be allowed to work this week, the city's mayor said.",,2021-10-04
https://www.huffpost.com/entry/federal-judge-suspends-new-york-citys-vaccine-mandate-for-teachers_n_614f8354e4b001641194c55c,Federal Judge Suspends New York City's Vaccine Mandate For Teachers,EDUCATION,But the district is confident that it will prevail.,"Michael Hill, AP",2021-09-25
https://www.huffpost.com/entry/public-schools-enrollment-pandemic_n_60ca2230e4b0b80b49ea8604,"After Enrollment Dips, Public Schools Hope For Fall Rebound",EDUCATION,"As the coronavirus pandemic wanes in the United States, some parents are wondering if their children should return to public school.",,2021-06-16
https://www.huffpost.com/entry/justice-dept-drops-yale-admissions-suit-alleging-anti-asian-white-discrimination_n_601ae5fec5b6c2d891a585a2,"Justice Dept. Drops Yale Admissions Suit Alleging Anti-Asian, White Discrimination",EDUCATION,The lawsuit was filed in October under the Trump administration.,"Colleen Long and Michael Balsamo, AP",2021-02-03
https://www.huffpost.com/entry/university-of-arizona-coronavirus_n_5f480505c5b64f17e13a9ac3,University Of Arizona Prevented Coronavirus Outbreak On Campus By Testing Wastewater,EDUCATION,Positive samples led to an entire dorm being tested for COVID-19. “Poop can tell you the truth about yourself and your community.”,Jenna Amatulli,2020-08-27
https://www.huffpost.com/entry/morehouse-college-admit-transgender-men_n_5cb270f0e4b082aab08691cb,Morehouse College To Begin Taking Transgender Men Next Year,EDUCATION,"Students who transition from male to female, however, will not be automatically eligible to receive a degree from the institution.","Errin Haines Whack, AP",2019-04-13
https://www.huffpost.com/entry/college-admissions-scheme-class-action_n_5c8a71a7e4b038892f4b6994,Stanford Students Sue In College Admissions Scandal,EDUCATION,"The two students say in their federal lawsuit that the admissions scam alleged by prosecutors cheated them out of ""a fair admissions consideration process.”",Jenna Amatulli,2019-03-14
https://www.huffingtonpost.com/entry/restorative-justice-california-schools_us_5afdb96de4b0c1cf3c0c3efb,The Controversial Way Some California Schools Are Handling Students' Misbehavior,EDUCATION,By David Washburn The two 9th-grade girls heard the laughing the minute they walked into their third-period class that December,"EdSource, Editorial Partner",2018-05-17
https://www.huffingtonpost.com/entry/california-school-first-in-the-nation-to-be-digitally_us_5ae9f02ce4b06622d15db396,California School First In The Nation To Be Digitally Mapped For First Responders,EDUCATION,By David Washburn Among the many disturbing truths that came to light following the 1999 massacre at Columbine High School,"EdSource, Editorial Partner",2018-05-02
https://www.huffingtonpost.com/entry/states-are-favoring-school-choice-at-a-steep-cost-to_us_5ae7457de4b08248abaa6ea9,States Are Favoring School Choice At A Steep Cost To Public Education,EDUCATION,The current debate over school funding must move beyond teacher salaries and whether the books in public schools are tattered.,"The Conversation US, Editorial Partner",2018-05-01
https://www.huffingtonpost.com/entry/charter-school-bathroom-policy-periods_us_5ae7a19be4b04aa23f26463c,Girls Reportedly Bleeding Through Pants Due To Charter School Bathroom Policy,EDUCATION,The school system is now allowing girls to tie their school sweatshirts around their waists.,Doha Madani,2018-05-01
https://www.huffingtonpost.com/entry/teacher-shortage-retirees_us_5ad657d6e4b0d6cc69cc730a,"Desperate For Teachers, Districts Beg Retirees To Come Back",EDUCATION,"""It’s difficult not to respond when you hear there is such a significant need.”","The Hechinger Report, Editorial Partner",2018-04-19
https://www.huffingtonpost.com/entry/why-more-school-districts-are-holding-class-just-four_us_5ad7507ce4b05fd5d2b87e8a,Why More School Districts Are Holding Class Just Four Days A Week,EDUCATION,Small rural school districts have long sought to save money and attract teachers by dropping a school day. Now some urban,"Stateline, Editorial Partner",2018-04-19
https://www.huffingtonpost.com/entry/beyonce-scholarship-program-hbcu_us_5ad4ca64e4b0edca2cbc790e,"Beyoncé Announces $100,000 In Scholarships For HBCU Students",EDUCATION,"The program will give $25,000 each to Xavier University, Wilberforce University, Tuskegee University and Bethune-Cookman University.",Jenna Amatulli,2018-04-16
https://www.huffingtonpost.com/entry/kentucky-learning-school-without-teachers_us_5acfad69e4b077c89ce6a42f,Kentucky Is Learning That You Can't Have School Without Teachers,EDUCATION,"Dozens of school districts will close again as Kentucky teachers protest the ""dismantling"" of public education.",Travis Waldron,2018-04-12
https://www.huffingtonpost.com/entry/parkland-votes-against-arming-teachers_us_5ace3160e4b064876775ed0e,Parkland School District Votes Against Arming Teachers,EDUCATION,"""I have not met one teacher or one student who is in favor of arming teachers in Broward County,"" a school board member said Tuesday.",Hayley Miller,2018-04-11
https://www.huffingtonpost.com/entry/pennsylvania-teachers-baseball-bats_us_5ace1584e4b0259339df8239,Pennsylvania School District Arms 500 Teachers With Mini Baseball Bats,EDUCATION,"""It is the last resort, but it is an option,"" the Millcreek School District superintendent said.",Hayley Miller,2018-04-11
https://www.huffingtonpost.com/entry/david-hogg-laura-ingraham_us_5acb480ee4b09d0a11959a4b,"Hey, Laura Ingraham, David Hogg Actually Did Get Into UC Irvine",EDUCATION,The Fox News host mocked the teen survivor of the Parkland school shooting for college rejections.,Ron Dicker,2018-04-09
https://www.huffingtonpost.com/entry/chuck-e-cheeses-now-offers-sensory-sensitive-sundays-for-special-needs-children_us_5ac90f95e4b09d0a11945486,Chuck E. Cheese’s Now Offers 'Sensory Sensitive Sundays' For Special Needs Children,EDUCATION,The music and lighting will be dimmed to make the experience more enjoyable for children with autism and other special needs.,Sebastian Murdock,2018-04-07
